dt,Npoints,t1,R1,Tamb1,Tamb2,cvol,s_t0,s_dt,s_dR,s_R1,s_Tamb1,s_Tamb2,s_cvol,mean_T2,std_T2,l95_T2,u95_T2,kur_T2,skew_T2,mean_R2,std_R2,l95_R2,u95_R2,kur_R2,skew_R2,mean_DT,std_DT,l95_DT,u95_DT,kur_DT,skew_DT
2,3,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,94.19446696741362,1.298173715907696,91.85301913204258,96.92992559087554,0.17751850516793066,0.32155336429162257,19.56871934679824,0.05825206529138662,19.480710701297596,19.699342230414267,0.48253526201339136,0.6801284959183509,70.19480818639157,1.2422066129568141,67.98451786299046,72.83366664569823,0.21203779930480415,0.3666795054540407
2,4,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.7779716209548,0.9631263232633761,91.91425921675584,95.69270600406566,0.008691934583067162,0.05733139292194317,19.543847790120978,0.027129507182763694,19.493523067909134,19.599903871259535,0.0690092244530196,0.24008664662050966,69.77786161928071,0.8864387692079513,68.07082577448504,71.54824671612369,0.013669858098744214,0.07208936902266413
2,5,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.73300534998155,0.8946598296393151,91.99654681408025,95.5012767162188,-0.0012050123313716021,0.04055760473715071,19.54126244510477,0.01704597928134098,19.50894869706099,19.575787764007632,0.02973181109851053,0.13570506190221182,69.73323704990032,0.8112797743369801,68.1615985114884,71.34290866431559,0.0002684305132123477,0.05080483345061042
2,6,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.51418390308959,0.8691648656050499,91.82404717184541,95.2319553916289,0.012328944958273524,0.03586344790576029,19.528210566277703,0.011938819243447706,19.505360820866763,19.552149795255406,0.0245610371915177,0.09947948633007377,69.51420023678607,0.7831362070498197,67.99762894769626,71.06673574320511,0.01106391150825603,0.048107964330750916
2,7,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.57351619782413,0.8624935783617331,91.8966134374079,95.27657017680983,0.002667361457767914,0.03209628290045556,19.531782566087305,0.00951756879099178,19.513473944657925,19.550781025454558,0.009477837082344287,0.07405600060750671,69.57358087857787,0.7757983573729588,68.0693437052769,71.10996305793361,0.005288056176173228,0.04294480250065989
2,8,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.44802784155453,0.8558179465468113,91.78325064266217,95.13427237085904,0.0005780976250342462,0.026818730486671657,19.524205234122395,0.007829723086773556,19.509076754123207,19.539774162521415,0.003516856146368319,0.060745906457517235,69.44783570380108,0.7683865118371284,67.95568766871438,70.96690362419078,0.004930445239403891,0.03991671205995877
2,9,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.60222032964182,0.8543995877884234,91.94256436807373,95.28823579071081,0.001912674089233679,0.031435733008212265,19.533360735206067,0.007024977229501368,19.51976862974736,19.547303941340004,0.012776140816695758,0.05255164082370672,69.60151627997944,0.7672340049272033,68.11216481993742,71.11850757782024,0.006132352934385743,0.042562013314512995
2,10,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.49131747538318,0.8510243280533586,91.8342368312079,95.16905709467139,-0.0008085509133657354,0.026955562304216904,19.5268200669158,0.006261176173800943,19.51467864373479,19.53919942838568,-0.008101907218200921,0.04183606320846866,69.49123773673765,0.7634266061241791,68.01013798983404,71.00012872033291,0.0002687335600000118,0.03951992912967263
2,11,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.50365248366839,0.850348975068437,91.85158062729947,95.1810824742451,0.008168048308128117,0.03260459057405623,19.527503334292923,0.005804823922593925,19.516235472553145,19.538970622018706,0.0004511388377888004,0.03594632260900773,69.50341247326143,0.7627592524188572,68.02684060912497,71.01408326678205,0.008212260021937645,0.04456760608754124
2,12,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.5096418599744,0.8509946383647443,91.85430557950319,95.19088606986685,0.015454291246348006,0.030896749852567563,19.527877068749017,0.005476614801834569,19.51724238781975,19.53870382840894,-0.001142182001626857,0.033071133039967664,69.50979482859805,0.7635328897932152,68.027567790314,71.02020236523059,0.017334495840051645,0.04345871292522796
2,13,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.51924961498963,0.8510129197896068,91.8649844015296,95.19835736912343,-0.0010754834973369931,0.029961786226160653,19.528455879203978,0.005230891153106129,19.518296692559407,19.538780035099045,0.0038606234596425537,0.030214322440926623,69.51915917980826,0.7628599132261994,68.04068096153526,71.02879063875137,0.0027150683475074544,0.04413519910425846
2,14,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.48348650806778,0.8491702314421119,91.83204329703818,95.15803717130382,-0.0008917528593332946,0.03231536880668448,19.526373118093538,0.005018781742129915,19.516604191704396,19.53627594698689,-0.010560821349213878,0.025798766940828957,69.48342771340513,0.761045571485672,68.00805842457896,70.99078861300204,0.00027147566295315784,0.04504999407820037
2,15,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.45894643053627,0.8481605665694708,91.8110899891874,95.13452089979936,-0.0054651444172990615,0.030869445917862826,19.524803884816617,0.00484996175081362,19.515364481723683,19.534354926290863,-0.002972483030450057,0.02511054770546642,69.45881171136003,0.7607454707485662,67.98331086827517,70.9658774830033,-0.002562502564112279,0.04254223793832013
2,16,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.48377754997195,0.8492450897714892,91.8337133326742,95.16218416556309,0.0056196106407040425,0.03490583114739074,19.52644665147782,0.004751652455244936,19.517183326825997,19.535803177743748,-0.0031168546366928673,0.02151198828016169,69.48387343470571,0.7612143220634399,68.00967079278175,70.99410278334115,0.007771617155311716,0.0472705787105674
4,3,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.68999470662753,0.9054391025880197,91.93093575573569,95.48240877900123,0.00829518700845,0.040786360778146895,19.538623634697935,0.01899645054921064,19.502819883521493,19.57729007265194,0.049015085897905486,0.15428196181577378,69.69000037101925,0.8238156196641178,68.09522567006141,71.3260463918998,0.0139307604778649,0.05470429478782083
4,4,10,15.39,24,24,100,0.1,0.01,0.001,0.001,0.2,0.2,1,93.55873618146396,0.8630390850240361,91.88072944691237,95.26146789826892,-0.00829404178468307,0.03375789162121121,19.530874566902355,0.010505642721047074,19.510693078649723,19.55188495136356,0.012200241757571284,0.08382141708605959,69.55881760279547,0.7767740811827213,68.05211850856139,71.09705126103145,-0.008046586400171307,0.044539922285057765
