mean_R2,mean_T2_MC,std_R2,std_T2_MC,mean_T2_calc,std_T2_calc,N,test
19.400291275751425,91.40965857023403,0.04136011057218402,0.7582195750053611,91.35934339062658,0.7376805322373456,10.0,0
19.41885113314286,91.57265413788397,0.06334269722586436,1.1305403978189563,91.67108628443331,1.092511396907243,10.0,1
19.39746865450738,91.45520740474973,0.008781458592280801,0.2465165078968068,91.31193289084847,0.28861378220123735,10.0,2
19.400145550482467,91.36414092672712,0.01917164099492222,0.4545494318491397,91.35689569848718,0.40650473390228936,10.0,3
19.395510106659376,91.26464375662572,0.015809104050472932,0.2598692974578165,91.27903590457755,0.3633832810096935,10.0,4
19.390929332600393,91.22280911983441,0.003682158507074366,0.31466018322579525,91.2020943779858,0.25563187001650367,10.0,5
19.41455290780413,91.67099641327994,0.04676431093907658,0.7077395256406953,91.5988906216613,0.8237570161651168,10.0,6
19.451719499261884,92.3190660700126,0.1429704122368244,2.377266600154338,92.22316377902514,2.414233071499846,10.0,7
19.42161261190332,91.66626538669934,0.06200111617281609,1.0988614108768782,91.71746979707656,1.0705827022496894,10.0,8
19.391216611303282,91.20822224984254,0.005139470921384817,0.12811795121528677,91.20691968953204,0.2626318552162782,10.0,9
19.394254196957924,91.35773829807304,0.007626860671003261,0.3450061855183502,91.25794086508273,0.279183515539124,10.0,10
19.419482804945858,91.65388357937745,0.06129050872133658,1.0674449139700664,91.68169623642001,1.0589727630136185,10.0,11
19.41752005356114,91.72876276911536,0.06800847914549524,1.1809883532387129,91.64872864493533,1.1689653846693229,10.0,12
19.419471630246584,91.65698052122052,0.062425493739468124,1.0605196329837543,91.68150853922947,1.077514871311302,10.0,13
19.409257211655557,91.47127169670499,0.04241127659825604,0.7736276944026277,91.50994081955564,0.7543492004038161,10.0,14
19.433357684879503,91.87219861834694,0.08346635003175185,1.4197125881213117,91.91474733861934,1.423769790551457,10.0,15
19.42178528937896,91.63764208352976,0.07203593297552147,1.223858715763509,91.72037019522163,1.2351592861588,10.0,16
19.423275542485168,91.70671680410184,0.0682874871725352,1.1827937604969079,91.74540141211278,1.1735526690598512,10.0,17
19.39398308984969,91.3005779506442,0.004796856620054331,0.2286004475064566,91.25338718168582,0.26081275557433925,10.0,18
19.403525274026215,91.54355856900548,0.03863466054482615,0.7127233834326081,91.41366363455337,0.6947463625358413,10.0,19
19.41503294277856,91.72244717975525,0.04626013524420096,0.750478466296636,91.60695358728118,0.8156869099509138,10.0,20
19.40299574030724,91.33280304438172,0.019298839060873783,0.45428817682509154,91.40476925727235,0.40820969274671953,10.0,21
19.398346423556234,91.30569666962839,0.018341671301572573,0.3708807788401716,91.32667644504784,0.3955461377005096,10.0,22
19.432047452386396,91.98511794517944,0.08120464732083073,1.2962709197374775,91.89273985977148,1.386377368165916,10.0,23
19.458993933577755,92.2476029316376,0.15055699354678828,2.488498980859712,92.34534969654642,2.5410237964070186,10.0,24
19.395664487988263,91.37186328462401,0.016031293597856697,0.4103776343695027,91.28162898927653,0.3661199291707062,10.0,25
19.41613039806948,91.64274452585752,0.04393555364484862,0.6577569706820845,91.6253871280676,0.7785857246106755,10.0,26
19.39741359723508,91.36298889580351,0.0077223048105420225,0.22292184596629516,91.31100811470226,0.2799395889640219,10.0,27
19.418978440561016,91.47421757440044,0.047175826622775884,0.8563721010829785,91.67322461890986,0.8303584972550176,10.0,28
19.450950330387744,92.25894593231924,0.12276781517356972,2.172585576495496,92.21024434082078,2.0769916055211253,10.0,29
19.43599383508745,91.86159791707273,0.08899460496914927,1.5175869848284282,91.95902575504263,1.5152920418405624,10.0,30
19.41036724719445,91.62448269686192,0.039587524491058436,0.5579048571839254,91.52858566600165,0.7097332272477066,10.0,31
19.397421514000285,91.38009384518595,0.022162209471418254,0.31553088288588044,91.31114108960841,0.4473389182258299,10.0,32
19.402131853765646,91.43658920851436,0.019526962377480098,0.4290086841925674,91.39025888228845,0.4112558686193689,10.0,33
19.44313531836082,92.02725138164246,0.1270126525456135,2.009804156905071,92.07897854426717,2.147790290109521,10.0,34
19.431723530429494,92.0929972508349,0.06942532695551717,1.0809103989713271,91.88729906536868,1.192249528423447,10.0,35
19.416273818709016,91.53735758912453,0.0289698661752861,0.3767714505439326,91.62779611021963,0.5462359126457417,10.0,36
19.392512176731955,91.20334472364877,0.004690268161094812,0.2917760067423691,91.22868081125472,0.2602568229117178,10.0,37
19.417810744292645,91.63274802416151,0.052572502766078215,0.7989430447592053,91.6536112670337,0.9172584662992942,10.0,38
19.40091507989617,91.2756967729149,0.034124971191979776,0.616380769830846,91.36982119253797,0.6245738036235785,10.0,39
19.45165192068912,92.23413205541286,0.09721049515138193,1.6245367862785942,92.22202868733835,1.6515947800598036,10.0,40
19.396848448048942,91.32643294952817,0.006571354034875181,0.35653684562176563,91.30151551791107,0.27152005539136315,10.0,41
19.402555351493277,91.30219932902413,0.021679703472032165,0.44459044309143,91.39737221319116,0.44063514045981206,10.0,42
19.404225555575106,91.33334344350494,0.027215831480494775,0.4948792206271215,91.42542599845125,0.5201285191645596,10.0,43
19.407701066018184,91.51029702172627,0.02273997372007162,0.43618396278938687,91.48380283077975,0.45547991806488275,10.0,44
19.39326477599942,91.19390496102585,0.015257242020437645,0.42979860738425574,91.24132193605261,0.35665647153276053,10.0,45
19.441657521106826,91.95865623740374,0.12758987444762804,2.188456348494542,92.05415654360716,2.157419901443122,10.0,46
19.418357879452152,91.60803009178521,0.06392258954546465,1.1437170836590136,91.66280128904361,1.1019984845762492,10.0,47
