Time,Resistance
4, 19.379
6, 19.300
8, 19.230
10, 19.163
12, 19.097
14, 19.035
16, 18.975
18, 18.918
20, 18.861
22, 18.809
24, 18.755
26, 18.710
28, 18.658
30, 18.614
32, 18.570
34, 18.528
36, 18.485
38, 18.445
40, 18.410
