Time,Resistance
8.708e-06,16.223672
0.333041513,16.21134
0.6660469502,16.209116
0.9990346605,16.207932
1.3320270357,16.207646
1.6650694817,16.206943
1.998063723,16.207112
2.3310831551,16.206787
2.6630937079,16.206813
2.9960313474,16.208621
3.3290765924,16.206358
3.6621240144,16.207008
3.9951020837,16.206124
4.3281333338,16.206124
4.6611465459,16.206098
4.9941457631,16.206189
5.3271415594,16.206137
5.6601709434,16.20641
5.9931975286,16.205772
6.3261715549,16.205837
6.6592230198,16.206046
6.9921902042,16.207529
7.3252348272,16.205564
7.6582110306,16.205994
7.9912295297,16.205759
8.3242495838,16.205889
8.657258131,16.205486
8.9902427313,16.20546
9.3232873543,16.205811
9.6562439647,16.205577
